A,W,Q,W,A
K,W,J,W,K
Q,W,10,W,Q
J,W,A,W,J
10,W,K,W,10
LAN,GCA,Q,GCA,LAN
HEL,W,J,W,HEL
PIC,DIA,10,DIA,PIC
TNT,W,LAN,W,TNT
A,DRI,HEL,DRI,A
K,W,PIC,W,K
Q,W,TNT,W,Q
J,W,A,W,J
10,W,K,W,10
GCA,GCA,Q,GCA,GCA
A,W,GCA,W,A
K,W,A,W,K
Q,W,K,W,Q
J,W,Q,W,J
10,W,J,W,10
LAN,DIA,10,DIA,LAN
HEL,W,LAN,W,HEL
PIC,W,HEL,W,PIC
TNT,W,PIC,W,TNT
A,W,TNT,W,A
K,W,A,W,K
Q,W,K,W,Q
J,W,Q,W,J
10,W,J,W,10
M,W,10,W,M
A,GCA,LAN,GCA,A
K,W,M,W,K
Q,W,HEL,W,Q
J,W,PIC,W,J
10,W,TNT,W,10
LAN,W,A,W,LAN
HEL,DRI,K,DRI,HEL
PIC,W,Q,W,PIC
TNT,W,J,W,TNT
DRI,W,10,W,A
A,W,LAN,W,K
K,W,HEL,W,DRI
Q,W,PIC,W,Q
J,W,TNT,W,J
10,W,A,W,10
LAN,GCA,K,GCA,LAN
HEL,W,Q,W,HEL
PIC,W,J,W,PIC
TNT,W,10,W,TNT
A,W,LAN,W,A
K,W,HEL,W,K
S,DIA,PIC,DIA,Q
M,W,TNT,W,M
A,W,M,W,A
K,W,A,W,K
Q,W,K,W,Q
J,W,Q,W,J
10,W,J,W,10
LAN,GCA,10,GCA,LAN
HEL,W,LAN,W,HEL
PIC,W,HEL,W,PIC
TNT,W,PIC,W,TNT
GCA,DRI,TNT,DRI,A
A,W,A,W,K
K,W,K,W,Q
Q,W,Q,W,J
J,W,J,W,10
10,W,10,W,LAN
LAN,GCA,LAN,GCA,HEL
HEL,W,HEL,W,PIC
PIC,W,PIC,W,TNT
TNT,DIA,TNT,DIA,GCA
M,W,A,W,A
A,W,K,W,K
K,W,M,W,Q
Q,W,Q,W,J
S,W,J,W,10
J,W,10,W,M
10,W,S,W,LAN
LAN,GCA,LAN,GCA,HEL
HEL,W,HEL,W,PIC
PIC,W,PIC,W,TNT
TNT,W,TNT,W,A
A,DRI,A,DRI,K
K,W,K,W,Q
Q,W,Q,W,J
J,W,J,W,10
10,W,10,W,LAN
DIA,W,DIA,W,S
A,W,A,W,A
K,W,K,W,K
M,W,Q,W,M
Q,W,J,W,Q
J,W,10,W,J
10,W,LAN,W,10
LAN,GCA,HEL,GCA,LAN
HEL,W,PIC,W,HEL
PIC,W,TNT,W,PIC
TNT,DIA,A,DIA,DIA
A,W,K,W,A
K,W,Q,W,K
Q,W,J,W,Q
J,W,10,W,J
10,W,LAN,W,10
S,W,HEL,W,LAN
LAN,W,M,W,HEL
HEL,DRI,PIC,DRI,PIC
PIC,W,TNT,W,TNT
M,W,A,W,M
